Year,LGA,index,Count,Median House Price
2015,Yarra Ranges,20690,108,913
2015,Yarriambiack,20694,0,0
2016,Alpine,21646,11,355
2016,Ararat,21650,5,140
2016,Ballarat,21654,322,660
2016,Banyule,21658,472,1178
2016,Bass Coast,21662,19,700
2016,Baw Baw,21666,25,520
2016,Bayside,21670,365,1430
2016,Benalla,21674,37,615
2016,Boroondara,21678,2048,1260
2016,Brimbank,21682,222,865
2016,Buloke,21686,6,118
2016,Campaspe,21690,23,293
2016,Cardinia,21694,0,0
2016,Casey,21698,86,954
2016,Central Goldfields,21702,14,335
2016,Colac-Otway,21706,37,748
2016,Corangamite,21710,0,0
2016,Darebin,21714,1386,1155
2016,East Gippsland,21718,59,698
2016,Frankston,21722,446,887
2016,Gannawarra,21726,0,0
2016,Glen Eira,21730,1977,1145
2016,Glenelg,21734,21,433
2016,Golden Plains,21738,0,0
2016,Greater Bendigo,21742,132,723
2016,Greater Dandenong,21746,567,910
2016,Greater Geelong,21750,619,840
2016,Greater Shepparton,21754,115,679
2016,Hepburn,21758,6,238
2016,Hindmarsh,21762,6,118
2016,Hobsons Bay,21766,195,1075
2016,Horsham,21770,42,628
2016,Hume,21774,98,940
2016,Indigo,21778,0,0
2016,Kingston,21782,487,1152
2016,Knox,21786,77,1188
2016,Latrobe,21790,246,570
2016,Loddon,21794,0,0
2016,Macedon Ranges,21798,15,380
2016,Manningham,21802,186,1400
2016,Mansfield,21806,0,0
2016,Maribyrnong,21810,897,1030
2016,Maroondah,21814,91,1151
2016,Melbourne,21818,11798,1515
2016,Melton,21822,35,1264
2016,Mildura,21826,109,724
2016,Mitchell,21830,20,558
2016,Moira,21834,40,500
2016,Monash,21838,641,1148
2016,Moonee Valley,21842,823,1168
2016,Moorabool,21846,11,410
2016,Moreland,21850,1690,1230
2016,Mornington Penin'a,21854,63,943
2016,Mount Alexander,21858,0,0
2016,Moyne,21862,0,0
2016,Murrindindi,21866,0,0
2016,Nillumbik,21870,14,502
2016,Northern Grampians,21874,22,418
2016,Port Phillip,21878,3162,1400
2016,Pyrenees,21882,0,0
2016,Queenscliffe,21886,0,0
2016,South Gippsland,21890,29,643
2016,Southern Grampians,21894,27,555
2016,Stonnington,21898,3949,1380
2016,Strathbogie,21902,0,0
2016,Surf Coast,21906,11,468
2016,Swan Hill,21910,57,563
2016,Towong,21914,0,0
2016,Wangaratta,21918,45,663
2016,Warrnambool,21922,95,753
2016,Wellington,21926,88,650
2016,West Wimmera,21930,0,0
2016,Whitehorse,21934,1038,1120
2016,Whittlesea,21938,118,1103
2016,Wodonga,21942,66,686
2016,Wyndham,21946,59,970
2016,Yarra,21950,2483,1475
2016,Yarra Ranges,21954,121,953
2016,Yarriambiack,21958,0,0
2017,Alpine,22910,20,585
2017,Ararat,22914,0,0
2017,Ballarat,22918,261,695
2017,Banyule,22922,524,1231
2017,Bass Coast,22926,21,725
2017,Baw Baw,22930,37,750
2017,Bayside,22934,301,1440
2017,Benalla,22938,16,310
2017,Boroondara,22942,1959,1340
2017,Brimbank,22946,195,911
2017,Buloke,22950,0,0
2017,Campaspe,22954,37,428
2017,Cardinia,22958,13,450
2017,Casey,22962,80,1030
2017,Central Goldfields,22966,14,328
2017,Colac-Otway,22970,32,780
2017,Corangamite,22974,0,0
2017,Darebin,22978,1404,1205
2017,East Gippsland,22982,44,693
2017,Frankston,22986,403,933
2017,Gannawarra,22990,0,0
2017,Glen Eira,22994,1940,1190
2017,Glenelg,22998,25,630
2017,Golden Plains,23002,0,0
2017,Greater Bendigo,23006,139,704
2017,Greater Dandenong,23010,524,953
2017,Greater Geelong,23014,612,855
2017,Greater Shepparton,23018,160,670
2017,Hepburn,23022,0,0
2017,Hindmarsh,23026,0,0
2017,Hobsons Bay,23030,198,1163
2017,Horsham,23034,50,823
2017,Hume,23038,99,1035
2017,Indigo,23042,0,0
2017,Kingston,23046,497,1183
2017,Knox,23050,107,1195
2017,Latrobe,23054,205,580
2017,Loddon,23058,0,0
2017,Macedon Ranges,23062,18,705
2017,Manningham,23066,205,1438
2017,Mansfield,23070,0,0
2017,Maribyrnong,23074,935,1126
2017,Maroondah,23078,103,1181
2017,Melbourne,23082,12286,1613
2017,Melton,23086,45,1285
2017,Mildura,23090,107,700
2017,Mitchell,23094,5,150
2017,Moira,23098,70,496
2017,Monash,23102,609,1233
2017,Moonee Valley,23106,1033,1285
2017,Moorabool,23110,16,665
2017,Moreland,23114,1613,1290
2017,Mornington Penin'a,23118,60,1015
2017,Mount Alexander,23122,0,0
2017,Moyne,23126,0,0
2017,Murrindindi,23130,0,0
2017,Nillumbik,23134,13,568
2017,Northern Grampians,23138,22,270
2017,Port Phillip,23142,3137,1475
2017,Pyrenees,23146,0,0
2017,Queenscliffe,23150,0,0
2017,South Gippsland,23154,24,518
2017,Southern Grampians,23158,32,575
2017,Stonnington,23162,3880,1460
2017,Strathbogie,23166,9,200
2017,Surf Coast,23170,22,830
2017,Swan Hill,23174,68,583
2017,Towong,23178,0,0
2017,Wangaratta,23182,40,665
2017,Warrnambool,23186,77,755
2017,Wellington,23190,113,643
2017,West Wimmera,23194,0,0
2017,Whitehorse,23198,1184,1218
2017,Whittlesea,23202,127,1150
2017,Wodonga,23206,72,685
2017,Wyndham,23210,53,1095
2017,Yarra,23214,2265,1543
2017,Yarra Ranges,23218,113,1020
2017,Yarriambiack,23222,6,110
2018,Alpine,24174,7,200
2018,Ararat,24178,6,158
2018,Ballarat,24182,249,705
2018,Banyule,24186,543,1325
2018,Bass Coast,24190,8,250
2018,Baw Baw,24194,23,370
2018,Bayside,24198,312,1490
2018,Benalla,24202,26,638
2018,Boroondara,24206,1819,1370
2018,Brimbank,24210,203,983
2018,Buloke,24214,0,0
2018,Campaspe,24218,43,598
2018,Cardinia,24222,11,475
2018,Casey,24226,68,1050
2018,Central Goldfields,24230,5,165
2018,Colac-Otway,24234,38,803
2018,Corangamite,24238,8,358
2018,Darebin,24242,1319,1250
2018,East Gippsland,24246,45,745
2018,Frankston,24250,369,965
2018,Gannawarra,24254,0,0
2018,Glen Eira,24258,1979,1238
2018,Glenelg,24262,27,611
2018,Golden Plains,24266,0,0
2018,Greater Bendigo,24270,150,748
2018,Greater Dandenong,24274,495,990
2018,Greater Geelong,24278,539,880
2018,Greater Shepparton,24282,141,678
2018,Hepburn,24286,0,0
2018,Hindmarsh,24290,0,0
2018,Hobsons Bay,24294,204,1215
2018,Horsham,24298,52,753
2018,Hume,24302,98,1000
2018,Indigo,24306,0,0
2018,Kingston,24310,495,1220
2018,Knox,24314,94,1253
2018,Latrobe,24318,250,610
2018,Loddon,24322,0,0
2018,Macedon Ranges,24326,18,628
2018,Manningham,24330,217,1473
2018,Mansfield,24334,0,0
2018,Maribyrnong,24338,1011,1132
2018,Maroondah,24342,86,1238
2018,Melbourne,24346,11578,1675
2018,Melton,24350,35,1327
2018,Mildura,24354,101,728
2018,Mitchell,24358,8,178
2018,Moira,24362,51,566
2018,Monash,24366,626,1255
2018,Moonee Valley,24370,935,1305
2018,Moorabool,24374,16,470
2018,Moreland,24378,1773,1375
2018,Mornington Penin'a,24382,42,1105
2018,Mount Alexander,24386,0,0
2018,Moyne,24390,0,0
2018,Murrindindi,24394,0,0
2018,Nillumbik,24398,19,943
2018,Northern Grampians,24402,19,295
2018,Port Phillip,24406,3050,1505
2018,Pyrenees,24410,0,0
2018,Queenscliffe,24414,0,0
2018,South Gippsland,24418,26,661
2018,Southern Grampians,24422,40,600
2018,Stonnington,24426,3721,1485
2018,Strathbogie,24430,13,620
2018,Surf Coast,24434,12,530
2018,Swan Hill,24438,60,585
2018,Towong,24442,0,0
2018,Wangaratta,24446,38,738
2018,Warrnambool,24450,88,810
2018,Wellington,24454,112,668
2018,West Wimmera,24458,0,0
2018,Whitehorse,24462,1100,1225
2018,Whittlesea,24466,94,1188
2018,Wodonga,24470,56,703
